ms_id,ms_repeat_number
75948,5
38983,5
75951,5
26745,5
26746,5
81735,5
26747,5
81728,5
75958,5
86317,5
203494,5
28644,5
75968,5
75969,5
75975,5
75976,5
114994,5
75978,5
75979,5
75980,5
28794,5
854395,5
39015,5
81393,5
111539,5
112274,5
39022,5
75993,5
39026,5
39029,5
39030,5
76000,5
38989,5
39037,5
54123,5
54124,5
39039,5
85939,5
76009,5
76010,5
39045,5
76015,5
76016,5
39051,5
114396,5
53278,5
53279,5
76028,5
76030,5
76032,5
76033,5
81552,5
76037,5
76043,5
76044,5
85643,5
76045,5
111852,5
76053,5
76056,5
39104,5
76070,5
76071,5
76072,5
76073,5
76074,5
76075,5
39108,5
39114,5
76087,5
39126,5
76093,5
76094,5
39129,5
76097,5
110565,5
110563,5
76103,5
39142,5
76107,5
81692,5
182076,5
112613,5
85704,5
204019,5
39006,5
76119,5
39157,5
110009,5
139959,5
39165,5
39166,5
39171,5
39172,5
76139,5
86307,5
721411,5
721412,5
721413,5
86308,5
721429,5
28848,5
86301,5
720693,5
39180,5
39181,5
39184,5
76156,5
39195,5
76159,5
85537,5
697501,5
39208,5
76169,5
39211,5
76176,5
76180,5
76182,5
39226,5
39227,5
76186,5
39230,5
39231,5
39234,5
76199,5
39245,5
76202,5
76205,5
85428,5
39255,5
76211,5
39265,5
39266,5
115960,5
39269,5
73479,5
39271,5
39272,5
76228,5
39277,5
39278,5
84023,5
39283,5
76240,5
39288,5
76244,5
76245,5
115085,5
39294,5
39296,5
76252,5
76253,5
86123,5
705777,5
705778,5
86121,5
39309,5
39310,5
39311,5
76264,5
76265,5
114083,5
39319,5
39320,5
39321,5
39327,5
39335,5
112751,5
76285,5
110942,5
76289,5
86337,5
39346,5
39347,5
76299,5
85736,5
867090,5
81742,5
184764,5
81741,5
856443,5
726566,5
81739,5
779368,5
695349,5
726113,5
81738,5
76307,5
114777,5
39364,5
39365,5
39366,5
39368,5
76315,5
39373,5
39374,5
76323,5
39377,5
39379,5
39381,5
76012,5
39391,5
39394,5
111512,5
39397,5
76346,5
39404,5
86704,5
86705,5
86706,5
85778,5
679080,5
85775,5
39409,5
111841,5
76361,5
114399,5
39424,5
76367,5
39429,5
115008,5
45287,5
39435,5
110551,5
115186,5
76385,5
76386,5
39453,5
114092,5
106243,5
85844,5
76394,5
114735,5
39463,5
39464,5
76399,5
57258,5
39470,5
110870,5
110865,5
39476,5
76411,5
76412,5
76414,5
39481,5
76419,5
76420,5
110579,5
76430,5
39501,5
76433,5
76441,5
109998,5
76446,5
76447,5
113155,5
76450,5
110494,5
39523,5
76456,5
39527,5
86006,5
39534,5
76463,5
86300,5
39539,5
86293,5
76471,5
27051,5
110391,5
39548,5
109035,5
51450,5
45306,5
85410,5
85745,5
76489,5
76490,5
76491,5
85406,5
704429,5
735192,5
76493,5
85401,5
39567,5
116117,5
39578,5
109606,5
39583,5
39584,5
76513,5
76519,5
76520,5
76525,5
113060,5
39601,5
39603,5
39605,5
85472,5
839010,5
85474,5
39608,5
115316,5
76543,5
76546,5
76548,5
76549,5
115972,5
39618,5
76052,5
114715,5
76559,5
76561,5
76563,5
109675,5
114628,5
76580,5
85519,5
39655,5
86257,5
203226,5
717859,5
51473,5
39667,5
39669,5
45326,5
39673,5
39677,5
76616,5
76620,5
86256,5
45329,5
76627,5
35973,5
39696,5
39698,5
116299,5
114775,5
114776,5
116301,5
110462,5
114767,5
85847,5
108279,5
39723,5
39724,5
39726,5
39727,5
76665,5
76666,5
114694,5
76069,5
108274,5
76677,5
76678,5
39742,5
76683,5
85911,5
719138,5
85917,5
85918,5
39750,5
81355,5
95373,5
45338,5
81348,5
680387,5
109559,5
39759,5
76700,5
39763,5
111043,5
112184,5
109518,5
39774,5
39775,5
76713,5
76714,5
39779,5
39780,5
114049,5
81528,5
76722,5
81534,5
39788,5
76726,5
