ms_id,ms_repeat_number
75948,5
75951,5
26745,5
26746,5
26747,5
75958,5
28644,5
75969,5
75975,5
75976,5
75978,5
28794,5
39015,5
75993,5
39026,5
39029,5
39030,5
76000,5
38989,5
39037,5
54123,5
39039,5
76009,5
76010,5
39045,5
76015,5
76016,5
39051,5
53278,5
76028,5
76030,5
76037,5
76043,5
76045,5
76053,5
76056,5
39104,5
76070,5
76073,5
76075,5
39108,5
39114,5
76087,5
39126,5
76093,5
39129,5
76097,5
76103,5
39142,5
76107,5
39006,5
76119,5
39157,5
139959,5
39165,5
39166,5
39171,5
39172,5
28848,5
39180,5
39181,5
39184,5
76156,5
39195,5
76159,5
39208,5
39211,5
76176,5
76182,5
39227,5
76186,5
39231,5
39234,5
76199,5
39245,5
76202,5
39255,5
76211,5
39265,5
39266,5
39269,5
73479,5
39271,5
39278,5
39283,5
76240,5
39288,5
76244,5
76245,5
39294,5
76252,5
76253,5
39309,5
76264,5
39320,5
39327,5
39335,5
76285,5
76289,5
39346,5
39347,5
76299,5
76307,5
39368,5
76315,5
39373,5
39374,5
76323,5
39377,5
39379,5
39381,5
76012,5
39394,5
39397,5
76346,5
39404,5
39424,5
76367,5
39429,5
45287,5
39435,5
76385,5
76386,5
39453,5
76394,5
39463,5
76399,5
57258,5
39470,5
39476,5
76411,5
76412,5
76414,5
39481,5
76419,5
76430,5
39501,5
76433,5
76441,5
76446,5
76450,5
39523,5
76456,5
39527,5
39534,5
76463,5
39539,5
27051,5
39548,5
51450,5
45306,5
76489,5
76491,5
76493,5
39567,5
39578,5
39583,5
76513,5
76520,5
76525,5
39601,5
39605,5
39608,5
76543,5
76546,5
76549,5
39618,5
76052,5
76559,5
76561,5
76563,5
76580,5
39655,5
51473,5
39667,5
39669,5
45326,5
39673,5
39677,5
76616,5
76620,5
45329,5
76627,5
35973,5
39696,5
39698,5
39723,5
39724,5
39726,5
76665,5
76666,5
76069,5
76677,5
39742,5
76683,5
39750,5
45338,5
39759,5
76700,5
39763,5
39774,5
76714,5
39780,5
76722,5
39788,5
76726,5
39796,5
39806,5
76742,5
76745,5
39816,5
76753,5
76758,5
50126,5
39835,5
39836,5
76770,5
80759,5
76775,5
76778,5
45355,5
76781,5
39866,5
39880,5
39884,5
76801,5
26691,5
28327,5
76810,5
39906,5
76818,5
76820,5
28321,5
39921,5
76830,5
39926,5
76840,5
76842,5
39939,5
76846,5
76848,5
76857,5
76862,5
76863,5
39969,5
76106,5
76888,5
80761,5
76904,5
39999,5
76913,5
40003,5
40004,5
76918,5
76923,5
40012,5
76926,5
76930,5
76942,5
40029,5
76948,5
31612,5
40036,5
76955,5
40051,5
76968,5
75908,5
40059,5
76976,5
40063,5
40069,5
40070,5
76984,5
40078,5
76993,5
40083,5
45389,5
77001,5
40091,5
40092,5
77007,5
77008,5
76129,5
77016,5
40108,5
77020,5
